                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.71659,                0.82991,                0.34763,                0.93225,                0.99362,                0.99133,                0.99277,                0.86098,                0.99651,                0.99422,                0.99283,                0.86255,                0.63419,                0.82425,                0.25719,                0.92134,              0.0008615,              0.0008615,              0.0008615
                     26,                0.70456,                0.84067,                0.34066,                0.93389,                0.99396,                0.99422,                0.99265,                0.87233,                0.99685,                0.99711,                0.99275,                0.87431,                0.61316,                0.79519,                0.25434,                0.91357,               0.000812,               0.000812,               0.000812
                     27,                0.69905,                0.82895,                0.33717,                 0.9311,                0.99392,                0.99422,                0.99306,                0.87618,                0.99681,                0.99711,                0.99315,                0.87667,                0.61006,                0.79345,                0.25809,                0.91027,              0.0007625,              0.0007625,              0.0007625
                     28,                0.69645,                0.83013,                0.33786,                0.93043,                0.99678,                0.99711,                0.99289,                0.87355,                0.99678,                0.99711,                0.99289,                0.87163,                0.61078,                0.80388,                0.25019,                  0.908,               0.000713,               0.000713,               0.000713
                     29,                0.68973,                0.83915,                0.33572,                0.92932,                0.99407,                0.99422,                0.99284,                0.87894,                0.99407,                0.99422,                0.99284,                0.87076,                0.60042,                 0.8008,                0.25493,                 0.9107,              0.0006635,              0.0006635,              0.0006635
                     30,                 0.6881,                 0.8284,                 0.3354,                 0.9302,                0.99133,                0.99105,                0.99376,                 0.8757,                0.99422,                0.99394,                0.99383,                0.87726,                 0.6223,                0.81358,                0.26456,                0.92432,               0.000614,               0.000614,               0.000614
                     31,                0.63735,                0.81901,                0.28867,                0.91944,                0.99678,                0.99422,                0.99346,                0.86702,                0.99678,                0.99422,                0.99346,                 0.8661,                0.61779,                0.79393,                  0.248,                0.91467,              0.0005645,              0.0005645,              0.0005645
                     32,                0.62262,                0.80727,                0.28119,                 0.9099,                0.99402,                0.99422,                0.99273,                0.87141,                0.99402,                0.99422,                0.99273,                 0.8683,                0.61012,                0.80084,                0.24792,                0.90734,               0.000515,               0.000515,               0.000515
                     33,                0.61284,                0.79786,                0.27087,                0.90567,                0.99399,                0.99422,                0.99366,                0.88352,                0.99399,                0.99422,                0.99366,                0.88043,                 0.5851,                0.77669,                0.23747,                0.89912,              0.0004655,              0.0004655,              0.0004655
                     34,                0.61668,                0.80042,                 0.2721,                0.91577,                0.99691,                0.99711,                0.99364,                0.87603,                0.99402,                0.99422,                 0.9936,                 0.8736,                0.60769,                0.79348,                0.24088,                0.90513,               0.000416,               0.000416,               0.000416
                     35,                0.60674,                0.79246,                0.26624,                0.90712,                0.99686,                0.99711,                0.99364,                0.88803,                0.99686,                0.99711,                0.99364,                0.87988,                0.59615,                 0.7812,                0.24209,                 0.9048,              0.0003665,              0.0003665,              0.0003665
                     36,                0.60356,                0.78504,                0.26224,                0.90092,                0.99688,                0.99711,                0.99367,                0.87858,                0.99688,                0.99711,                0.99367,                0.87003,                0.60394,                0.79022,                0.23672,                0.90797,               0.000317,               0.000317,               0.000317
                     37,                0.59675,                0.77459,                0.25351,                0.90259,                0.99675,                0.99711,                0.99309,                0.87765,                0.99675,                0.99711,                0.99309,                0.86936,                0.59596,                0.77825,                 0.2313,                0.90242,              0.0002675,              0.0002675,              0.0002675
                     38,                0.58501,                0.76819,                0.25111,                0.89998,                0.99685,                0.99711,                0.99301,                0.87759,                0.99685,                0.99711,                0.99301,                 0.8747,                0.59262,                0.77346,                 0.2282,                0.90113,               0.000218,               0.000218,               0.000218
                     39,                0.58299,                0.77183,                0.25149,                0.89791,                0.99393,                0.99422,                0.99278,                0.87138,                0.99682,                0.99711,                0.99283,                  0.871,                0.58905,                0.76917,                 0.2274,                0.90231,              0.0001685,              0.0001685,              0.0001685
                     40,                0.57886,                0.76317,                0.24332,                0.89487,                0.99686,                0.99711,                0.99237,                0.87603,                0.99686,                0.99711,                0.99237,                0.86718,                0.58183,                0.77096,                0.22203,                0.89824,               0.000119,               0.000119,               0.000119
